celltype,frac_first_trimester,frac_term,delta,log2_ratio,direction
Stroma,0.19336736132652774,0.27838138420737446,0.08501402288084672,0.5257184377676628,rises
Hofbauer cells,0.1646315670736866,0.24766874839592778,0.0830371813222412,0.5891708463353309,rises
EVT,0.07591438481712304,0.08080246385490632,0.00488807903778328,0.09002600073905244,rises
Endothelial cells,0.02222159555568089,0.022243134570964156,2.153901528326521e-05,0.0013977025330779607,rises
STB,0.042440991511801696,0.02506630165112499,-0.017374689860676706,-0.7597092082638166,falls
CTB,0.400214319957136,0.3256908204294636,-0.0745234995276724,-0.297269730777802,falls
Perivascular,0.10120977975804404,0.020147146890238686,-0.08106263286780535,-2.3287012492422945,falls
